year,id,regional_unit,pre_county_id,post_county_id,reform_type,population,pre_name,post_name
1962,03/1962/0002,Gemeinde,03238,03236,1,285,Neuhaus,Neuhaus im Solling
1962,05/1962/0001,Gemeinde,05740,05742,2,10,Westenholz,Moese
1962,08/1962/0001,Gemeinde,08111,08138,2,9,"Heilbronn, Stadt",Flein
1962,08/1962/0006,Gemeinde,08236,08138,2,37,Allfeld,Höchstberg
1962,09/1962/0002,Gemeinde,09135,09111,2,21,"Berchtesgaden, gemfr. Geb.","Bad Reichenhall, Stadt"
1962,09/1962/0003,Gemeinde,09142,09113,1,5904,Unsernherrn,"Ingolstadt, Stadt"
1962,09/1962/0012,Gemeinde,09534,09540,2,2,"Erlangen, gemfr. Geb.",Behringersdorf
1962,09/1962/0038,Gemeinde,09531,09511,2,11,"Ansbach, gemfr. Geb.","Ansbach, Stadt"
1962,09/1962/0040,Gemeinde,09534,09536,2,11,Tennenlohe,Großgündlach
1963,01/1963/0003,Gemeinde,01142,01112,2,530,Melsdorf,"Kiel, Stadt"
1963,01/1963/0005,Gemeinde,01141,01112,2,76,Oppendorf,"Kiel, Stadt"
1963,03/1963/0003,Gemeinde,03241,03239,2,8,"Harz, Anteil Kreis Zellerfeld, Forst, gemfr. Gebiet","Lauterberg im Harz, Bad, Stadt"
1963,03/1963/0004,Gemeinde,03732,03240,2,9,Essinghausen,"Peine, Stadt"
1963,03/1963/0005,Gemeinde,03332,03311,2,205,Altencelle,"Celle, Stadt"
1963,03/1963/0006,Gemeinde,03337,03312,2,719,Oedeme,"Lüneburg, Stadt"
1963,03/1963/0029,Gemeinde,03234,03211,1,927,Herbershausen,"Göttingen, Stadt"
1963,05/1963/0002,Gemeinde,05734,05731,2,22,Isingdorf,Kirchdornberg
1963,05/1963/0005,Gemeinde,05835,05831,2,77,Evingsen,"Altena, Stadt"
1963,07/1963/0002,Gemeinde,07531,07540,2,40,Wilgartswiesen,Hinterweidenthal
1963,08/1963/0001,Gemeinde,08237,08214,2,8,Büchenbronn,"Pforzheim, Stadt"
1963,09/1963/0002,Gemeinde,09240,09212,2,8,Ergolding,"Landshut, Stadt"
1963,09/1963/0010,Gemeinde,09433,09418,2,8,"Coburg, gemfr. Geb.","Neustadt b. Coburg, Stadt"
1963,09/1963/0014,Gemeinde,09531,09511,2,10,Hennenbach,"Ansbach, Stadt"
